id,created_at,aluno_id,data,presente
1,2025-07-23 23:15:51.186876+00,83,2025-07-23,true
2,2025-07-23 23:15:55.188114+00,15,2025-07-23,true
3,2025-07-23 23:15:55.892199+00,136,2025-07-23,true
4,2025-07-23 23:16:02.127888+00,34,2025-07-23,true
5,2025-07-23 23:16:02.541632+00,21,2025-07-23,true
6,2025-07-23 23:16:13.665188+00,20,2025-07-23,true
7,2025-07-23 23:16:13.958985+00,10,2025-07-23,true
8,2025-07-24 00:08:31.305633+00,83,2025-07-24,false
9,2025-07-24 00:08:31.736746+00,15,2025-07-24,false
11,2025-07-24 00:14:55.090151+00,57,2025-07-24,false
12,2025-07-24 00:14:55.090151+00,58,2025-07-24,true
14,2025-07-24 00:14:55.090151+00,42,2025-07-24,false
15,2025-07-24 00:14:55.090151+00,59,2025-07-24,true
16,2025-07-24 00:14:55.090151+00,60,2025-07-24,true
17,2025-07-24 00:14:55.090151+00,6,2025-07-24,false
18,2025-07-24 00:14:55.090151+00,23,2025-07-24,false
19,2025-07-24 00:14:55.090151+00,24,2025-07-24,false
20,2025-07-24 00:14:55.090151+00,25,2025-07-24,false
21,2025-07-24 00:14:55.090151+00,26,2025-07-24,true
22,2025-07-24 00:14:55.090151+00,27,2025-07-24,false
23,2025-07-24 00:14:55.090151+00,28,2025-07-24,true
24,2025-07-24 00:14:55.090151+00,29,2025-07-24,true
25,2025-07-24 00:14:55.090151+00,30,2025-07-24,false
26,2025-07-24 00:14:55.090151+00,208,2025-07-24,false
27,2025-07-24 00:14:55.090151+00,2,2025-07-24,false
28,2025-07-24 00:14:55.090151+00,56,2025-07-24,true
29,2025-07-24 00:14:55.090151+00,62,2025-07-24,false
30,2025-07-24 00:14:55.090151+00,75,2025-07-24,true
31,2025-07-24 00:14:55.090151+00,184,2025-07-24,false
32,2025-07-24 00:14:55.090151+00,185,2025-07-24,true
34,2025-07-24 00:14:55.090151+00,186,2025-07-24,false
35,2025-07-24 00:14:55.090151+00,187,2025-07-24,true
36,2025-07-24 00:14:55.090151+00,189,2025-07-24,true
37,2025-07-24 00:14:55.090151+00,190,2025-07-24,true
39,2025-07-24 00:14:55.090151+00,95,2025-07-24,true
40,2025-07-24 00:14:55.090151+00,136,2025-07-24,true
41,2025-07-24 00:14:55.090151+00,191,2025-07-24,false
42,2025-07-24 00:14:55.090151+00,193,2025-07-24,true
45,2025-07-24 00:14:55.090151+00,63,2025-07-24,false
46,2025-07-24 00:14:55.090151+00,64,2025-07-24,true
47,2025-07-24 00:14:55.090151+00,65,2025-07-24,false
48,2025-07-24 00:14:55.090151+00,66,2025-07-24,false
49,2025-07-24 00:14:55.090151+00,67,2025-07-24,false
50,2025-07-24 00:14:55.090151+00,68,2025-07-24,false
52,2025-07-24 00:14:55.090151+00,69,2025-07-24,true
53,2025-07-24 00:14:55.090151+00,70,2025-07-24,false
54,2025-07-24 00:14:55.090151+00,71,2025-07-24,false
55,2025-07-24 00:14:55.090151+00,72,2025-07-24,true
56,2025-07-24 00:14:55.090151+00,73,2025-07-24,false
57,2025-07-24 00:14:55.090151+00,74,2025-07-24,false
59,2025-07-24 00:14:55.090151+00,206,2025-07-24,true
62,2025-07-24 00:14:55.090151+00,76,2025-07-24,true
63,2025-07-24 00:14:55.090151+00,77,2025-07-24,true
64,2025-07-24 00:14:55.090151+00,79,2025-07-24,false
65,2025-07-24 00:14:55.090151+00,80,2025-07-24,true
66,2025-07-24 00:14:55.090151+00,81,2025-07-24,true
67,2025-07-24 00:14:55.090151+00,82,2025-07-24,true
69,2025-07-24 00:14:55.090151+00,85,2025-07-24,false
70,2025-07-24 00:14:55.090151+00,87,2025-07-24,true
71,2025-07-24 00:14:55.090151+00,88,2025-07-24,true
72,2025-07-24 00:14:55.090151+00,89,2025-07-24,false
73,2025-07-24 00:14:55.090151+00,90,2025-07-24,true
74,2025-07-24 00:14:55.090151+00,91,2025-07-24,true
75,2025-07-24 00:14:55.090151+00,92,2025-07-24,true
76,2025-07-24 00:14:55.090151+00,93,2025-07-24,true
77,2025-07-24 00:14:55.090151+00,94,2025-07-24,true
78,2025-07-24 00:14:55.090151+00,96,2025-07-24,true
79,2025-07-24 00:14:55.090151+00,97,2025-07-24,false
80,2025-07-24 00:14:55.090151+00,98,2025-07-24,false
82,2025-07-24 00:14:55.090151+00,1,2025-07-24,true
83,2025-07-24 00:14:55.090151+00,3,2025-07-24,false
84,2025-07-24 00:14:55.090151+00,4,2025-07-24,false
85,2025-07-24 00:14:55.090151+00,5,2025-07-24,false
86,2025-07-24 00:14:55.090151+00,7,2025-07-24,false
87,2025-07-24 00:14:55.090151+00,9,2025-07-24,true
88,2025-07-24 00:14:55.090151+00,10,2025-07-24,false
89,2025-07-24 00:14:55.090151+00,11,2025-07-24,false
90,2025-07-24 00:14:55.090151+00,12,2025-07-24,true
91,2025-07-24 00:14:55.090151+00,13,2025-07-24,false
92,2025-07-24 00:14:55.090151+00,14,2025-07-24,false
94,2025-07-24 00:14:55.090151+00,16,2025-07-24,true
95,2025-07-24 00:14:55.090151+00,17,2025-07-24,false
96,2025-07-24 00:14:55.090151+00,99,2025-07-24,false
97,2025-07-24 00:14:55.090151+00,100,2025-07-24,false
98,2025-07-24 00:14:55.090151+00,102,2025-07-24,true
99,2025-07-24 00:14:55.090151+00,103,2025-07-24,true
100,2025-07-24 00:14:55.090151+00,104,2025-07-24,false
101,2025-07-24 00:14:55.090151+00,101,2025-07-24,false
102,2025-07-24 00:14:55.090151+00,231,2025-07-24,false
103,2025-07-24 00:14:55.090151+00,148,2025-07-24,false
104,2025-07-24 00:14:55.090151+00,149,2025-07-24,true
105,2025-07-24 00:14:55.090151+00,105,2025-07-24,true
106,2025-07-24 00:14:55.090151+00,106,2025-07-24,true
107,2025-07-24 00:14:55.090151+00,107,2025-07-24,true
108,2025-07-24 00:14:55.090151+00,108,2025-07-24,true
109,2025-07-24 00:14:55.090151+00,109,2025-07-24,true
110,2025-07-24 00:14:55.090151+00,110,2025-07-24,true
111,2025-07-24 00:14:55.090151+00,230,2025-07-24,true
112,2025-07-24 00:14:55.090151+00,18,2025-07-24,false
113,2025-07-24 00:14:55.090151+00,19,2025-07-24,true
114,2025-07-24 00:14:55.090151+00,20,2025-07-24,false
115,2025-07-24 00:14:55.090151+00,21,2025-07-24,true
116,2025-07-24 00:14:55.090151+00,22,2025-07-24,true
117,2025-07-24 00:14:55.090151+00,111,2025-07-24,true
118,2025-07-24 00:14:55.090151+00,112,2025-07-24,true
119,2025-07-24 00:14:55.090151+00,113,2025-07-24,false
120,2025-07-24 00:14:55.090151+00,114,2025-07-24,true
121,2025-07-24 00:14:55.090151+00,115,2025-07-24,false
122,2025-07-24 00:14:55.090151+00,116,2025-07-24,true
123,2025-07-24 00:14:55.090151+00,117,2025-07-24,true
124,2025-07-24 00:14:55.090151+00,232,2025-07-24,true
125,2025-07-24 00:14:55.090151+00,118,2025-07-24,true
126,2025-07-24 00:14:55.090151+00,119,2025-07-24,false
127,2025-07-24 00:14:55.090151+00,120,2025-07-24,true
128,2025-07-24 00:14:55.090151+00,121,2025-07-24,true
129,2025-07-24 00:14:55.090151+00,122,2025-07-24,false
